Datum;MedTemp;MaxTemp;MinTemp;Niederschlag;Monat;MedGlobalstrahlung;MedStarhlungBilanz
28.09.2016;16,9;24,2;11,8;0,00;9,00;153,3;46,8
29.09.2016;19,2;26,7;13,9;0,00;9,00;169,4;43,0
30.09.2016;19,1;24,6;16,0;0,00;9,00;99,2;21,3
01.10.2016;16,8;20,9;14,2;0,05;10,00;42,2;-16,7
02.10.2016;14,6;18,6;11,9;0,15;10,00;95,1;6,6
03.10.2016;12,4;15,8;10,5;1,47;10,00;84,3;-0,7
04.10.2016;11,1;14,2;8,7;0,00;10,00;60,2;14,6
05.10.2016;9,8;13,4;6,8;0,00;10,00;137,1;19,5
06.10.2016;8,6;11,0;5,6;0,00;10,00;28,2;1,8
07.10.2016;11,1;13,8;9,6;0,02;10,00;54,1;16,9
08.10.2016;10,0;12,4;8,6;0,96;10,00;44,6;-1,6
09.10.2016;9,1;13,4;7,1;0,00;10,00;81,6;-3,5
10.10.2016;8,7;12,8;5,9;0,00;10,00;92,3;25,2
11.10.2016;8,8;12,8;6,1;0,00;10,00;85,2;17,4
12.10.2016;9,1;13,7;5,8;0,00;10,00;122,7;20,9
13.10.2016;7,6;12,4;4,0;0,06;10,00;105,7;2,9
14.10.2016;9,4;15,3;5,6;0,00;10,00;60,7;0,7
15.10.2016;13,0;20,1;9,4;0,00;10,00;71,6;5,6
16.10.2016;12,9;21,5;6,8;0,00;10,00;133,6;12,9
17.10.2016;13,4;18,8;10,3;4,40;10,00;69,7;10,6
18.10.2016;12,9;15,8;11,3;4,87;10,00;43,3;-2,4
19.10.2016;10,6;13,5;8,7;1,16;10,00;77,5;-10,1
20.10.2016;9,5;12,1;8,1;2,44;10,00;64,1;7,8
21.10.2016;8,0;11,1;6,3;5,37;10,00;56,4;8,0
22.10.2016;8,7;11,7;6,1;0,00;10,00;45,9;-1,4
23.10.2016;7,9;13,1;3,3;0,54;10,00;60,9;5,0
24.10.2016;13,8;18,4;10,2;7,33;10,00;42,9;-4,8
25.10.2016;14,0;15,5;12,5;7,99;10,00;40,6;3,5
26.10.2016;12,4;14,8;9,2;0,00;10,00;40,2;6,1
27.10.2016;10,2;15,7;7,1;0,00;10,00;103,3;4,6
28.10.2016;9,3;15,1;5,3;0,00;10,00;94,7;0,6
29.10.2016;10,3;15,7;7,3;0,00;10,00;57,3;0,4
30.10.2016;8,6;15,2;5,0;0,00;10,00;87,3;-1,0
31.10.2016;8,7;15,4;4,4;0,00;10,00;102,4;-7,4
01.11.2016;9,0;15,8;4,4;0,00;11,00;93,5;-4,9
02.11.2016;8,5;10,9;5,2;1,63;11,00;39,9;-20,7
03.11.2016;6,3;10,6;2,5;0,07;11,00;64,9;-12,9
04.11.2016;6,2;12,1;1,3;0,16;11,00;69,8;-1,3
05.11.2016;9,5;13,9;7,6;3,56;11,00;23,3;-14,5
06.11.2016;5,7;8,2;1,5;0,55;11,00;30,9;-25,4
07.11.2016;3,5;8,6;0,8;0,32;11,00;70,6;-15,9
08.11.2016;2,3;5,1;-0,2;0,47;11,00;35,7;-21,6
09.11.2016;4,1;7,3;2,1;1,84;11,00;42,2;-2,8
10.11.2016;6,5;9,1;5,0;3,22;11,00;42,4;-28,8
11.11.2016;5,0;6,8;3,9;11,72;11,00;17,4;-18,5
12.11.2016;3,3;5,3;2,0;0,08;11,00;36,7;-4,1
13.11.2016;2,6;6,5;0,9;0,13;11,00;48,7;-16,2
14.11.2016;0,6;2,3;-0,7;0,22;11,00;51,9;-9,0
15.11.2016;4,2;7,4;0,8;0,87;11,00;26,3;2,3
16.11.2016;9,9;11,8;7,3;2,97;11,00;14,7;-16,2
17.11.2016;11,3;14,3;9,4;0,00;11,00;51,3;-7,5
18.11.2016;10,6;15,6;8,0;3,34;11,00;31,7;-35,9
19.11.2016;6,9;8,4;4,3;1,17;11,00;20,9;-26,6
20.11.2016;9,0;17,1;4,1;0,01;11,00;75,6;-13,8
21.11.2016;9,2;12,8;5,0;0,00;11,00;24,7;-11,2
22.11.2016;10,8;13,0;8,8;0,00;11,00;21,8;-13,5
23.11.2016;8,9;11,5;7,2;0,00;11,00;20,1;-18,0
24.11.2016;7,3;10,0;4,5;0,00;11,00;33,4;-11,2
25.11.2016;8,7;9,9;7,7;0,00;11,00;11,9;-3,2
26.11.2016;8,3;9,8;7,3;0,00;11,00;7,8;-9,2
27.11.2016;7,0;9,7;4,3;0,00;11,00;35,5;-9,9
28.11.2016;2,0;4,4;-0,4;0,00;11,00;68,5;-42,4
29.11.2016;0,4;4,9;-2,3;0,00;11,00;66,6;-45,3
30.11.2016;0,5;6,4;-3,2;0,00;11,00;61,3;-33,0
01.12.2016;3,3;8,4;-0,6;0,00;12,00;51,0;-15,9
02.12.2016;5,7;7,8;3,9;0,08;12,00;15,0;-7,0
03.12.2016;3,1;6,6;-0,8;0,00;12,00;64,4;-37,6
04.12.2016;-0,4;2,4;-3,5;0,00;12,00;27,6;-18,8
05.12.2016;1,0;5,9;-1,9;0,00;12,00;61,9;-36,2
06.12.2016;-0,7;3,9;-2,8;0,00;12,00;50,3;-19,7
07.12.2016;0,1;4,4;-2,8;0,00;12,00;59,4;-15,2
08.12.2016;2,8;9,0;-1,5;0,00;12,00;56,2;-28,5
09.12.2016;5,3;10,1;0,4;0,00;12,00;35,9;-7,6
10.12.2016;4,9;11,7;1,6;0,00;12,00;55,3;-36,9
11.12.2016;5,9;9,3;1,0;0,38;12,00;20,8;-20,5
12.12.2016;6,6;9,9;2,8;0,15;12,00;27,1;-17,5
13.12.2016;3,9;7,7;0,4;0,02;12,00;38,8;-17,9
14.12.2016;6,5;10,8;2,6;0,00;12,00;27,8;-17,6
15.12.2016;4,2;9,4;1,9;0,10;12,00;47,1;-31,7
16.12.2016;3,6;6,5;0,7;0,00;12,00;31,3;-11,5
17.12.2016;1,5;4,7;-1,5;0,10;12,00;27,1;-17,5
18.12.2016;3,0;4,3;1,8;0,17;12,00;9,3;-12,1
19.12.2016;3,4;4,5;1,8;0,00;12,00;11,1;-14,7
20.12.2016;1,3;4,5;-0,8;0,03;12,00;38,5;-35,2
21.12.2016;-0,4;3,0;-2,1;0,04;12,00;48,1;-23,6
22.12.2016;1,5;7,1;-2,1;1,97;12,00;52,3;-22,5
23.12.2016;5,5;8,6;3,4;0,28;12,00;28,6;1,6
24.12.2016;7,5;9,5;5,9;0,00;12,00;16,9;-17,3
25.12.2016;8,8;11,0;7,5;0,00;12,00;15,5;-6,0
26.12.2016;8,3;11,8;3,8;2,25;12,00;30,2;-11,9
27.12.2016;3,6;6,5;1,3;0,02;12,00;36,4;-27,3
28.12.2016;3,3;6,0;1,1;0,00;12,00;31,7;-18,4
29.12.2016;1,8;7,8;-1,4;0,07;12,00;55,7;-44,4
30.12.2016;-0,2;5,1;-3,0;0,05;12,00;60,9;-44,8
31.12.2016;-1,7;4,4;-5,1;0,00;12,00;65,6;-38,6
01.01.2017;-2,8;2,4;-5,3;0,00;1,00;53,1;-17,4
02.01.2017;0,0;1,8;-3,4;0,47;1,00;10,2;-11,1
03.01.2017;1,1;3,5;-0,3;0,00;1,00;29,3;-4,2
04.01.2017;2,1;3,5;0,4;0,56;1,00;13,0;-21,9
05.01.2017;0,2;2,5;-3,2;0,00;1,00;28,5;-30,2
06.01.2017;-5,2;0,0;-8,7;0,00;1,00;66,0;-46,8
07.01.2017;-5,2;0,0;-9,7;0,27;1,00;37,4;-3,8
08.01.2017;-0,1;1,7;-2,8;1,73;1,00;4,7;-17,5
09.01.2017;1,6;3,2;0,0;0,00;1,00;18,6;0,5
10.01.2017;0,6;1,8;-0,7;0,49;1,00;15,7;-11,6
11.01.2017;3,2;6,6;1,0;2,52;1,00;35,4;-4,8
12.01.2017;5,1;6,4;1,5;2,76;1,00;23,1;-12,7
13.01.2017;2,9;4,5;-9,4;0,08;1,00;27,3;-26,8
14.01.2017;1,7;3,8;-0,6;0,20;1,00;38,0;-15,8
15.01.2017;0,5;2,3;-0,7;0,06;1,00;42,5;-13,5
16.01.2017;-1,3;0,1;-3,0;0,65;1,00;20,4;-17,6
17.01.2017;-2,9;0,0;-4,6;0,00;1,00;52,5;-26,7
18.01.2017;-2,9;0,0;-4,5;0,00;1,00;56,0;-30,3
19.01.2017;-4,0;0,4;-7,3;0,00;1,00;70,5;-34,9
20.01.2017;-3,8;2,0;-8,0;0,00;1,00;74,7;-31,8
21.01.2017;-3,8;2,2;-8,4;0,00;1,00;73,2;-30,5
22.01.2017;-4,6;1,2;-8,7;0,00;1,00;78,8;-31,3
23.01.2017;-5,5;0,0;-9,2;0,00;1,00;68,3;-31,2
24.01.2017;-5,1;0,0;-8,0;0,25;1,00;11,6;-3,5
25.01.2017;-5,2;0,0;-7,9;0,00;1,00;17,5;-1,4
26.01.2017;-2,1;0,0;-4,7;0,00;1,00;29,3;-14,5
27.01.2017;-0,8;7,7;-6,2;0,00;1,00;77,8;-20,3
28.01.2017;0,2;7,1;-4,6;0,00;1,00;76,5;-17,4
29.01.2017;2,3;8,5;-2,7;0,02;1,00;59,3;-9,2
30.01.2017;5,2;7,6;0,8;2,49;1,00;22,1;-15,6
31.01.2017;5,5;8,2;2,0;2,56;1,00;2,6;-19,9
01.02.2017;5,0;7,8;0,2;0,00;2,00;27,1;5,8
02.02.2017;8,0;13,4;2,4;0,00;2,00;52,5;5,6
03.02.2017;8,4;13,0;6,5;0,00;2,00;42,5;-10,9
04.02.2017;6,6;10,7;2,4;0,00;2,00;38,0;-15,5
05.02.2017;6,3;9,6;1,8;0,07;2,00;46,6;1,6
06.02.2017;5,5;7,9;0,5;0,00;2,00;57,4;8,4
07.02.2017;5,6;9,6;0,0;0,00;2,00;61,4;8,4
08.02.2017;4,6;7,1;-0,8;0,00;2,00;43,7;-8,6
09.02.2017;1,0;2,4;-1,3;0,00;2,00;22,1;-18,6
10.02.2017;1,5;4,5;-1,4;0,00;2,00;39,8;-1,6
11.02.2017;3,6;10,8;-1,6;0,00;2,00;89,2;0,7
12.02.2017;3,2;7,2;-0,8;0,00;2,00;97,2;9,0
13.02.2017;2,1;5,0;-0,1;0,00;2,00;44,5;-9,7
14.02.2017;3,7;9,8;0,0;0,00;2,00;102,8;-5,5
15.02.2017;5,3;12,8;0,2;0,00;2,00;104,0;-2,1
16.02.2017;8,4;16,4;2,4;0,00;2,00;95,7;9,9
17.02.2017;8,2;10,6;6,5;4,90;2,00;57,1;4,6
18.02.2017;6,2;9,4;2,4;0,00;2,00;56,9;5,1
19.02.2017;5,6;11,0;0,2;0,00;2,00;92,4;10,1
20.02.2017;8,5;10,9;6,9;0,70;2,00;54,1;15,2
21.02.2017;10,3;11,9;9,0;2,70;2,00;25,4;-6,2
22.02.2017;10,7;11,5;9,8;0,00;2,00;24,6;-1,3
23.02.2017;12,7;19,8;7,8;0,60;2,00;111,0;22,9
24.02.2017;6,9;9,5;2,7;0,50;2,00;77,3;7,9
25.02.2017;5,1;11,8;-0,2;0,00;2,00;128,7;14,8
26.02.2017;8,2;13,7;3,6;0,00;2,00;69,0;2,1
27.02.2017;10,8;17,4;3,8;0,10;2,00;133,9;23,5
28.02.2017;6,2;9,9;3,8;9,30;2,00;56,0;-7,7
01.03.2017;6,4;9,3;3,6;2,4;3,00;60,5;0,6
02.03.2017;8,2;11,1;3,1;0,8;3,00;102,0;4,2
03.03.2017;7,6;14,1;2,1;0,0;3,00;80,2;12,5
04.03.2017;9,5;18,2;3,6;0,8;3,00;99,4;16,8
05.03.2017;8,6;12,8;5,7;1,3;3,00;120,2;36,7
06.03.2017;7,2;11,4;4,5;1,2;3,00;79,3;14,6
07.03.2017;6,1;9,3;3,6;4,8;3,00;79,2;12,7
08.03.2017;6,8;10,1;3,5;2,5;3,00;65,1;12,2
09.03.2017;11,3;13,7;9,5;15,6;3,00;43,3;-2,3
10.03.2017;8,6;12,4;3,8;0,0;3,00;152,1;32,0
11.03.2017;7,8;14,7;1,2;0,0;3,00;123,3;20,9
12.03.2017;8,6;15,1;1,7;0,0;3,00;169,7;35,9
13.03.2017;7,5;13,2;1,3;0,0;3,00;150,3;30,8
14.03.2017;8,9;16,4;2,6;0,0;3,00;145,2;37,2
15.03.2017;9,8;15,6;5,0;0,0;3,00;115,7;27,3
16.03.2017;11,2;19,4;4,4;0,0;3,00;169,3;43,4
17.03.2017;13,4;20,6;8,8;0,0;3,00;137,0;40,1
18.03.2017;10,0;11,6;8,1;10,2;3,00;35,1;-14,0
19.03.2017;13,0;16,0;10,6;0,0;3,00;88,4;42,3
20.03.2017;12,6;15,9;10,7;0,0;3,00;93,4;39,0
21.03.2017;10,4;14,1;5,5;4,6;3,00;50,9;9,8
22.03.2017;7,0;9,1;4,8;2,3;3,00;38,1;9,9
23.03.2017;11,0;16,2;7,0;0,3;3,00;177,2;81,7
24.03.2017;9,9;11,5;8,1;0,0;3,00;39,1;11,7
25.03.2017;11,2;16,7;6,4;0,0;3,00;185,4;69,2
26.03.2017;10,8;16,2;4,9;0,0;3,00;185,3;55,3
27.03.2017;11,3;19,0;3,6;0,0;3,00;207,2;56,8
28.03.2017;13,5;21,4;5,8;0,0;3,00;172,8;56,5
29.03.2017;15,2;20,7;9,8;0,0;3,00;185,6;63,8
30.03.2017;15,3;21,9;8,3;0,0;3,00;197,8;67,9
31.03.2017;17,2;25,9;9,6;0,0;3,00;188,8;63,7
01.04.2017;15,3;20,8;10,1;0,00;4,00;174,5;67,0
02.04.2017;13,9;17,8;10,4;0,00;4,00;158,3;68,5
03.04.2017;14,8;19,3;9,3;0,00;4,00;166,7;68,9
04.04.2017;13,0;17,7;7,7;0,00;4,00;175,3;66,7
05.04.2017;11,5;16,7;6,0;0,00;4,00;173,8;61,6
06.04.2017;9,0;12,8;6,1;0,00;4,00;112,9;26,1
07.04.2017;9,8;16,0;4,0;0,00;4,00;209,9;86,3
08.04.2017;11,9;20,1;4,5;0,00;4,00;218,0;82,2
09.04.2017;14,6;23,3;6,3;0,00;4,00;223,4;84,6
10.04.2017;17,0;25,4;10,1;0,00;4,00;212,3;84,5
11.04.2017;11,3;15,5;7,2;0,00;4,00;189,6;73,2
12.04.2017;12,9;20,9;5,2;0,00;4,00;193,4;88,9
13.04.2017;13,4;15,9;10,8;0,00;4,00;139,6;53,9
14.04.2017;12,5;15,1;10,3;0,00;4,00;88,4;36,7
15.04.2017;12,5;15,1;9,5;0,20;4,00;78,0;24,4
16.04.2017;9,0;12,4;6,5;0,90;4,00;89,0;28,0
17.04.2017;7,7;11,9;4,7;4,20;4,00;82,2;8,8
18.04.2017;4,3;8,3;2,0;5,50;4,00;131,2;50,9
19.04.2017;4,3;7,4;2,2;0,60;4,00;111,4;46,2
20.04.2017;4,4;10,8;-1,1;0,00;4,00;213,1;77,9
21.04.2017;8,9;16,5;1,6;0,00;4,00;249,5;119,8
22.04.2017;9,7;13,5;6,7;0,20;4,00;50,1;-4,7
23.04.2017;7,9;12,1;4,1;0,00;4,00;197,8;84,4
24.04.2017;10,2;19,1;1,2;0,00;4,00;257,9;113,0
25.04.2017;9,5;14,6;5,1;3,20;4,00;77,1;12,4
26.04.2017;5,8;8,5;3,4;6,40;4,00;73,2;23,6
27.04.2017;6,1;8,8;3,8;6,40;4,00;69,0;26,9
28.04.2017;8,2;12,8;4,9;2,10;4,00;150,9;75,3
29.04.2017;10,0;15,0;5,1;1,20;4,00;146,9;59,6
30.04.2017;11,7;18,9;3,2;0,00;4,00;273,3;129,5
01.05.2017;8,9;11,7;7,6;8,20;5,0;44,6;-16,4
02.05.2017;10,8;15,7;7,5;3,20;5,0;117,2;53,4
03.05.2017;11,4;16,1;8,8;3,00;5,0;119,9;56,7
04.05.2017;10,6;14,5;6,9;4,00;5,0;162,6;85,1
05.05.2017;12,3;17,9;8,7;0,00;5,0;146,3;78,3
06.05.2017;13,8;22,2;6,5;0,70;5,0;184,9;91,4
07.05.2017;13,3;15,4;12,0;2,20;5,0;52,3;8,1
08.05.2017;10,1;12,1;7,8;6,00;5,0;36,3;-4,9
09.05.2017;10,0;14,2;6,8;0,40;5,0;156,2;82,2
10.05.2017;12,5;21,6;4,0;0,00;5,0;291,7;143,0
11.05.2017;16,3;24,4;9,3;0,00;5,0;161,9;74,7
12.05.2017;16,5;22,2;12,8;9,10;5,0;150,3;78,1
13.05.2017;17,0;22,6;12,6;5,40;5,0;165,4;77,8
14.05.2017;16,4;22,9;13,4;2,00;5,0;156,2;72,5
15.05.2017;17,0;23,2;12,5;0,30;5,0;201,8;107,2
16.05.2017;18,6;26,5;10,1;0,00;5,0;280,6;145,0
17.05.2017;21,4;28,1;12,9;0,00;5,0;286,8;148,9
18.05.2017;20,7;25,7;16,6;2,00;5,0;159,3;61,4
19.05.2017;14,3;19,0;9,6;4,90;5,0;50,7;-5,4
20.05.2017;13,0;17,7;7,5;0,00;5,0;173,5;74,3
21.05.2017;15,2;22,7;7,2;0,00;5,0;261,6;138,9
22.05.2017;18,6;24,2;12,7;0,00;5,0;230,7;117,3
23.05.2017;20,5;27,5;13,4;0,00;5,0;235,4;135,7
24.05.2017;19,1;22,9;15,1;0,00;5,0;234,0;124,7
25.05.2017;19,2;23,8;15,4;0,00;5,0;259,5;145,8
26.05.2017;20,1;27,0;12,1;0,00;5,0;302,0;153,9
27.05.2017;22,9;30,1;13,7;0,00;5,0;302,9;151,0
28.05.2017;25,0;32,8;16,0;0,00;5,0;289,9;149,5
29.05.2017;26,1;34,1;19,2;0,00;5,0;263,0;144,6
30.05.2017;23,6;30,6;19,1;1,10;5,0;205,1;114,5
31.05.2017;21,7;26,6;17,6;0,00;5,0;253,7;143,2
01.06.2017;22,2;28,4;15,1;0,00;6,00;296,6;296,6
02.06.2017;22,9;29,3;19,8;0,00;6,00;211,0;211,0
03.06.2017;22,7;29,7;17,6;0,00;6,00;219,7;219,7
04.06.2017;18,3;21,5;13,9;15,40;6,00;197,5;197,5
05.06.2017;16,0;21,2;13,1;0,20;6,00;131,6;131,6
06.06.2017;16,2;21,9;12,0;0,20;6,00;163,5;163,5
07.06.2017;14,1;18,5;10,8;0,20;6,00;250,1;250,1
08.06.2017;18,0;25,8;10,4;0,00;6,00;286,5;286,5
09.06.2017;19,6;26,6;13,8;4,70;6,00;174,8;174,8
10.06.2017;18,9;25,0;12,4;0,00;6,00;257,9;257,9
11.06.2017;23,4;32,7;13,6;0,00;6,00;291,1;291,1
12.06.2017;23,3;26,7;17,6;0,00;6,00;279,9;279,9
13.06.2017;20,0;26,1;13,7;0,00;6,00;299,9;299,9
14.06.2017;21,8;28,2;14,6;0,00;6,00;294,2;294,2
15.06.2017;24,2;32,0;16,7;0,20;6,00;278,8;278,8
16.06.2017;21,3;23,9;18,8;0,00;6,00;250,2;250,2
17.06.2017;18,9;23,1;15,3;0,00;6,00;230,7;230,7
18.06.2017;21,9;27,0;17,8;0,00;6,00;300,6;300,6
19.06.2017;24,3;33,1;14,9;0,00;6,00;309,6;309,6
20.06.2017;27,1;35,0;19,4;0,00;6,00;270,9;270,9
21.06.2017;27,0;33,4;20,2;0,00;6,00;274,6;274,6
22.06.2017;28,6;35,5;20,4;0,00;6,00;230,8;230,8
23.06.2017;27,3;30,3;22,5;0,00;6,00;257,9;257,9
24.06.2017;23,9;29,1;19,4;0,00;6,00;292,8;292,8
25.06.2017;22,7;27,4;19,0;0,00;6,00;165,0;165,0
26.06.2017;24,9;31,0;18,3;0,00;6,00;296,0;296,0
27.06.2017;22,7;29,3;18,7;15,00;6,00;163,9;163,9
28.06.2017;22,2;27,1;17,9;27,90;6,00;186,3;186,3
29.06.2017;18,5;24,3;15,9;31,00;6,00;200,5;200,5
30.06.2017;19,1;25,2;14,3;0,10;6,00;261,2;261,2
01.07.2017;17,7;20,9;15,5;0,0;7,00;146,0;75,4
02.07.2017;17,6;22,4;14,6;1,6;7,00;95,7;23,3
03.07.2017;19,9;25,7;15,6;0,0;7,00;205,8;119,5
04.07.2017;22,2;28,3;17,2;0,0;7,00;235,0;139,1
05.07.2017;24,3;31,4;16,2;0,0;7,00;269,8;140,5
06.07.2017;25,8;33,5;17,9;0,0;7,00;259,4;132,3
07.07.2017;25,5;32,7;21,0;0,5;7,00;199,6;110,9
08.07.2017;26,7;32,5;19,6;0,0;7,00;213,0;124,6
09.07.2017;24,7;30,6;20,3;3,1;7,00;158,0;72,5
10.07.2017;22,0;27,2;17,9;5,2;7,00;161,8;74,6
11.07.2017;20,3;24,6;16,5;10,8;7,00;159,4;65,3
12.07.2017;20,5;24,0;17,7;1,7;7,00;133,7;44,6
13.07.2017;18,7;23,7;13,6;0,0;7,00;303,0;167,7
14.07.2017;19,2;24,1;14,2;1,0;7,00;177,2;76,2
15.07.2017;17,7;22,5;14,1;0,9;7,00;229,9;113,9
16.07.2017;19,9;27,6;12,9;0,0;7,00;231,0;136,6
17.07.2017;23,2;29,7;15,8;0,0;7,00;279,0;153,5
18.07.2017;25,8;32,7;18,2;0,0;7,00;251,3;134,9
19.07.2017;27,2;34,5;20,1;3,0;7,00;234,1;118,0
20.07.2017;21,2;25,4;19,0;8,2;7,00;111,0;27,9
21.07.2017;22,6;29,6;16,7;10,8;7,00;233,5;139,0
22.07.2017;23,0;29,1;17,4;5,9;7,00;217,0;128,7
23.07.2017;20,8;23,5;16,5;4,4;7,00;157,1;72,7
24.07.2017;17,2;21,2;14,4;0,7;7,00;136,8;48,5
25.07.2017;14,9;16,7;13,3;8,2;7,00;77,0;-19,3
26.07.2017;16,5;20,5;14,2;14,8;7,00;76,8;17,0
27.07.2017;19,1;24,4;15,3;3,0;7,00;126,4;67,3
28.07.2017;20,1;25,2;15,4;1,8;7,00;221,6;122,2
29.07.2017;22,7;29,8;15,8;0,0;7,00;265,8;139,4
30.07.2017;25,4;31,7;20,6;0,2;7,00;220,2;108,3
31.07.2017;24,8;29,5;19,5;0,0;7,00;179,8;87,7
01.08.2017;24,6;33,1;20,5;11,10;8,00;216,9;121,1
02.08.2017;24,2;29,2;19,7;3,20;8,00;196,9;117,6
03.08.2017;25,5;30,5;21,7;0,40;8,00;127,3;58,7
04.08.2017;23,9;27,4;19,0;0,00;8,00;166,1;85,7
05.08.2017;22,3;29,6;17,1;0,10;8,00;186,1;97,4
06.08.2017;20,2;25,0;16,0;0,00;8,00;224,9;108,7
07.08.2017;20,6;26,6;13,4;0,00;8,00;273,5;127,6
08.08.2017;20,3;25,0;15,9;0,10;8,00;109,7;27,4
09.08.2017;19,7;24,0;15,1;1,30;8,00;129,5;64,5
10.08.2017;15,2;17,0;13,4;6,60;8,00;26,6;-25,2
11.08.2017;14,9;17,0;13,4;6,90;8,00;51,9;18,2
12.08.2017;16,5;20,4;13,6;6,10;8,00;113,6;59,3
13.08.2017;19,2;24,0;15,8;0,00;8,00;140,9;77,3
14.08.2017;22,2;29,0;16,4;0,00;8,00;228,8;118,8
15.08.2017;23,5;32,3;17,8;1,20;8,00;219,7;106,6
16.08.2017;22,2;26,9;18,2;3,50;8,00;178,9;100,6
17.08.2017;23,1;29,0;17,8;0,00;8,00;177,9;92,7
18.08.2017;22,5;31,3;17,0;7,80;8,00;169,7;75,0
19.08.2017;17,7;22,3;13,8;0,00;8,00;176,6;73,3
20.08.2017;16,9;21,9;12,6;0,00;8,00;177,4;70,8
21.08.2017;17,0;23,6;12,4;0,00;8,00;174,0;77,7
22.08.2017;18,4;25,6;11,6;0,00;8,00;220,7;100,8
23.08.2017;21,7;29,6;15,3;0,00;8,00;224,9;115,4
24.08.2017;22,6;29,0;17,7;0,00;8,00;189,5;86,8
25.08.2017;24,0;32,0;17,9;0,00;8,00;206,8;104,2
26.08.2017;25,5;32,0;19,4;0,00;8,00;199,2;89,1
27.08.2017;23,0;28,4;19,2;1,80;8,00;142,6;59,7
28.08.2017;23,0;29,5;18,1;0,00;8,00;213,3;98,4
29.08.2017;23,9;31,4;17,2;0,00;8,00;216,3;92,3
30.08.2017;26,0;33,5;18,9;2,60;8,00;172,2;70,4
31.08.2017;18,7;22,2;15,0;9,20;8,00;48,2;-25,7
01.09.2017;15,1;17,4;12,8;2,40;9,00;67,1;-17,4
02.09.2017;14,4;18,9;12,2;0,10;9,00;106,1;20,9
03.09.2017;14,3;20,5;9,9;0,00;9,00;157,3;68,8
04.09.2017;15,9;22,2;9,6;0,00;9,00;151,0;62,1
05.09.2017;20,1;25,9;14,7;1,60;9,00;148,7;84,7
06.09.2017;19,0;21,9;14,8;2,40;9,00;144,3;28,9
07.09.2017;15,7;19,8;13,3;1,70;9,00;124,6;46,8
08.09.2017;15,9;20,1;11,9;0,00;9,00;108,1;38,1
09.09.2017;15,1;18,1;13,7;7,00;9,00;34,0;-22,3
10.09.2017;15,3;20,2;13,1;0,00;9,00;103,1;45,3
11.09.2017;14,5;18,9;11,1;1,90;9,00;128,1;31,6
12.09.2017;14,5;18,5;12,3;1,30;9,00;112,7;26,0
13.09.2017;16,7;22,1;11,6;0,10;9,00;93,8;28,6
14.09.2017;14,2;22,2;11,3;11,20;9,00;77,9;-8,5
15.09.2017;13,3;18,9;9,6;0,00;9,00;125,6;38,8
16.09.2017;10,8;17,6;7,1;7,80;9,00;86,2;12,9
17.09.2017;11,1;17,2;6,5;7,90;9,00;131,2;45,0
18.09.2017;11,6;15,7;9,6;3,90;9,00;94,4;12,9
19.09.2017;12,0;16,1;9,6;1,10;9,00;92,7;22,5
20.09.2017;13,2;17,4;9,5;0,00;9,00;131,3;52,3
21.09.2017;12,7;19,7;7,1;0,00;9,00;177,1;52,9
22.09.2017;14,4;22,5;8,5;0,00;9,00;161,9;57,9
23.09.2017;15,0;20,8;10,1;0,00;9,00;156,7;49,6
24.09.2017;14,5;21,0;9,0;0,00;9,00;155,5;49,7
25.09.2017;14,4;20,8;8,7;0,00;9,00;133,0;35,6
26.09.2017;15,1;21,3;10,7;0,30;9,00;129,5;41,1
27.09.2017;15,8;21,8;10,9;0,00;9,00;138,0;42,5
28.09.2017;18,0;24,5;13,4;0,00;9,00;114,4;35,2
29.09.2017;18,4;23,3;15,5;0,00;9,00;87,1;30,5
30.09.2017;17,2;26,3;12,4;5,30;9,00;109,3;35,2
01.10.2017;13,5;18,0;9,9;0,00;10,00;156,2;42,2
02.10.2017;15,5;19,5;11,2;0,00;10,00;49,1;5,7
03.10.2017;14,1;17,6;10,3;23,20;10,00;86,5;19,2
04.10.2017;12,4;17,2;8,5;0,00;10,00;101,5;25,7
05.10.2017;14,4;22,1;9,9;3,90;10,00;122,9;28,5
06.10.2017;10,4;13,8;7,8;0,90;10,00;88,7;6,8
07.10.2017;11,7;15,9;8,2;2,20;10,00;109,9;36,6
08.10.2017;12,3;15,4;9,8;1,60;10,00;61,5;0,1
09.10.2017;12,4;15,8;10,7;0,90;10,00;72,3;5,7
10.10.2017;12,6;15,2;10,3;0,10;10,00;41,3;-3,7
11.10.2017;15,3;20,7;11,7;0,00;10,00;103,2;31,6
12.10.2017;14,8;19,4;11,1;0,00;10,00;51,3;-1,6
13.10.2017;15,2;21,3;11,0;0,00;10,00;120,8;22,3
14.10.2017;14,9;22,5;9,4;0,00;10,00;129,1;18,1
15.10.2017;16,1;24,1;10,6;0,00;10,00;127,1;13,2
16.10.2017;17,2;25,3;11,6;0,00;10,00;121,2;8,4
17.10.2017;16,1;23,9;10,9;0,00;10,00;122,1;4,3
18.10.2017;14,9;22,4;9,9;0,00;10,00;117,1;2,2
19.10.2017;14,9;22,7;10,0;0,00;10,00;88,6;-1,7
20.10.2017;16,2;21,8;12,9;0,00;10,00;45,5;1,6
21.10.2017;15,7;21,2;11,2;5,30;10,00;59,5;5,7
22.10.2017;11,2;15,0;8,8;0,70;10,00;95,5;7,8
23.10.2017;10,1;13,1;7,8;0,20;10,00;50,3;0,6
24.10.2017;13,1;17,4;10,3;0,00;10,00;53,4;11,0
